company,diameter,topping,variant,size,extra_sauce,extra_cheese,extra_mushrooms
0,22,2,8,1,1,1,0
0,20,7,8,1,1,1,0
0,16,5,8,4,1,1,1
0,14,9,8,4,1,0,1
0,18,4,8,1,1,0,1
0,18.5,1,3,1,0,0,1
0,16,9,3,1,0,1,1
0,8,7,3,4,0,0,1
0,12,5,3,4,1,0,1
0,12,9,3,4,0,0,0
0,18.5,4,18,1,0,0,0
0,16,1,18,1,1,1,0
0,8,9,18,4,1,1,0
0,12,1,18,4,0,1,0
0,12,4,18,4,0,1,0
0,18.5,4,13,1,0,1,1
0,16,9,13,1,0,1,1
0,8,2,13,4,1,1,1
0,12,5,13,4,1,1,1
0,12,4,13,4,1,1,1
0,22,2,7,1,1,1,1
0,18.5,5,7,1,1,1,1
0,14,2,7,4,1,1,1
0,16.5,9,7,4,1,0,0
0,16.5,2,7,4,1,0,0
1,8.5,4,4,5,1,0,0
1,12,2,4,3,1,0,0
1,14,9,4,2,1,0,1
1,12,4,5,3,0,0,1
1,17,2,15,0,0,1,1
1,12,2,6,3,0,1,1
1,8.5,5,4,5,1,1,1
1,12,2,4,3,0,1,1
1,14,5,4,2,0,1,1
1,12,5,5,3,0,1,1
1,17,4,15,0,0,1,1
1,12,9,6,3,1,1,1
1,8.5,2,4,5,0,1,1
1,12,4,4,3,1,1,1
1,14,2,4,2,1,1,0
1,12,2,5,3,0,0,0
1,17,5,15,0,1,0,0
1,12,9,6,3,1,0,0
1,8.5,9,4,5,1,1,0
1,12,5,4,3,1,1,0
1,14,4,4,2,1,1,0
1,12,9,5,3,0,1,0
1,17,2,15,0,0,1,0
1,12,5,6,3,0,1,0
2,8.5,10,17,5,1,1,1
2,12,10,17,3,1,1,1
2,14,10,17,2,1,1,1
2,8.5,3,0,5,1,0,1
2,12,3,0,3,0,0,0
2,14,3,0,2,1,0,1
2,8.5,8,1,5,0,1,1
2,12,8,1,3,1,1,0
2,14,8,1,2,0,1,0
2,8.5,5,9,5,1,1,0
2,12,6,9,3,1,1,0
2,14,4,9,2,1,1,1
2,8.5,3,12,5,1,1,1
2,12,3,12,3,1,1,1
2,14,3,12,2,1,1,0
2,8.5,11,10,5,0,0,0
2,12,11,10,3,0,0,0
2,14,11,10,2,0,0,0
2,8.5,11,11,5,0,1,0
2,12,11,11,3,0,1,0
2,14,11,11,2,1,1,0
2,8.5,11,19,5,0,1,1
2,12,11,19,3,1,0,1
2,14,11,19,2,0,0,1
2,8.5,0,2,5,1,0,1
2,12,0,2,3,1,0,1
2,14,0,2,2,1,0,1
2,8.5,10,14,5,1,0,1
2,12,10,14,3,1,1,0
2,14,10,14,2,1,1,0
3,18.5,4,13,1,0,1,0
3,16,9,13,1,0,1,0
3,8,2,13,4,1,1,0
3,12,5,13,4,1,1,0
3,12,4,13,4,1,1,0
3,22,2,7,1,1,1,1
3,18.5,5,7,1,1,1,1
3,14,2,7,4,1,1,1
3,16.5,9,7,4,1,0,1
3,16.5,2,7,4,1,0,1
3,8.5,4,4,5,1,0,1
3,12,2,4,3,1,0,1
3,14,9,4,2,1,0,1
3,12,4,5,3,0,0,1
3,17,2,15,0,0,1,1
3,12,2,6,3,0,1,0
3,8.5,5,4,5,1,1,0
3,12,2,4,3,0,1,0
3,14,5,4,2,0,1,0
3,12,5,5,3,0,1,1
4,17,4,15,0,0,1,1
4,8.5,4,4,5,1,0,1
4,12,2,4,3,1,0,1
4,14,9,4,2,1,0,0
4,12,4,5,3,0,0,0
4,17,2,15,0,0,1,0
4,12,2,6,3,0,1,0
4,8.5,5,4,5,1,1,0
4,12,2,4,3,0,1,1
4,14,5,4,2,0,1,1
4,12,5,5,3,0,1,1
4,17,4,15,0,0,1,1
4,12,9,6,3,1,1,1
4,8.5,2,4,5,0,1,1
4,12,4,4,3,1,1,1
4,14,2,4,2,1,1,1
4,12,2,5,3,0,0,1
4,17,5,15,0,1,0,0
4,12,9,6,3,1,0,0
4,8.5,9,4,5,1,1,0
4,12,5,4,3,1,1,0
4,14,4,4,2,1,1,0
4,12,9,5,3,0,1,0
4,17,2,15,0,0,1,0
4,12,5,6,3,0,1,1
4,8.5,10,16,5,1,1,1
4,12,10,16,3,1,1,1
4,14,10,16,2,1,1,1
4,8.5,3,0,5,1,0,1
4,12,3,0,3,0,0,1
